Show #,date,location,venue,setlist
458,"August 20, 1998"," Montreal, QC",Molson Centre,"['Sometimes', 'Corduroy', 'Animal', 'Hail, Hail', 'Brain Of J.', 'Red Mosquito', 'Given To Fly', 'Even Flow', 'Not For You', 'Wishlist', 'Lukin', 'Jeremy', 'Daughter', 'Another Brick In The Wall (Part 2)', 'Present Tense', 'State Of Love And Trust', 'Do The Evolution', 'Hard To Imagine', 'Better Man', 'Save it for Later', 'Alive', 'Black', 'Leaving Here', ""Baba O'Riley"", 'Yellow Ledbetter']"
459,"August 22, 1998"," Barrie, ON",Molson Park,"['Corduroy', 'Brain Of J.', 'Hail, Hail', 'Animal', 'Dissident', 'Given To Fly', 'MFC', 'Habit', 'Wishlist', 'Even Flow', 'Daughter', 'Surrender', 'In Hiding', 'Jeremy', 'State Of Love And Trust', 'Nothingman', 'Better Man', 'Leatherman', 'Alive', 'Immortality', 'Rearviewmirror', 'Last Exit', 'I Got Shit', 'Cinnamon Girl', 'Black', 'Do The Evolution', 'Yellow Ledbetter']"
460,"August 23, 1998"," Auburn Hills, MI",Palace of Auburn Hills,"['Long Road', 'Last Exit', 'Brain Of J.', 'Do The Evolution', 'Tremor Christ', 'Corduroy', 'MFC', 'Immortality', 'Wishlist', 'Alive', 'Given To Fly', 'Go', 'Jeremy', 'Even Flow', 'Daughter', 'I Want You To Want Me', 'All Those Yesterdays', 'Rearviewmirror', 'Animal', 'Hail, Hail', 'Off He Goes', 'Better Man', 'Crazy Mary', 'Footsteps', 'Smile', ""Fuckin' Up""]"
461,"August 25, 1998"," Pittsburgh, PA",Star Lake Amphitheater,"['Throw Your Arms Around Me', 'Release', 'Brain Of J.', 'Last Exit', 'Corduroy', 'I Got Shit', 'Faithfull', 'Even Flow', 'Jeremy', 'MFC', 'Rearviewmirror', 'Wishlist', 'Daughter', 'Outshined', 'I Wanna Live', 'Do The Evolution', 'Given To Fly', 'Elderly Woman Behind The Counter In A Small Town', 'Alive', 'No Way', 'Animal', 'Hail, Hail', 'Not For You', 'Nothingman', 'Black', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
462,"August 26, 1998"," Cuyahoga Falls, OH",Blossom Music Center,"['Hail, Hail', 'Animal', 'Given To Fly', 'Corduroy', 'MFC', 'Immortality', 'Footsteps', 'Even Flow', 'Jeremy', 'In Hiding', 'Daughter', 'My City Was Gone', 'W.M.A.', 'Brain Of J.', 'Rearviewmirror', 'Better Man', 'Wishlist', 'Alive', 'Elderly Woman Behind The Counter In A Small Town', 'Do The Evolution', 'Leatherman', 'Black', ""Baba O'Riley"", 'Yellow Ledbetter']"
463,"August 28, 1998"," Camden, NJ",Blockbuster-Sony Music Entertainment Centre,"['Release', 'Animal', 'Hail, Hail', 'Given To Fly', 'Corduroy', 'MFC', 'I Got Shit', 'Even Flow', 'Jeremy', 'Daughter', 'Suck You Dry', 'W.M.A.', 'Off He Goes', 'Immortality', 'Rearviewmirror', 'Brain Of J.', 'Black', 'Better Man', 'Alive', 'Sweet Home Alabama', 'Philadelphia Freedom', 'Hard To Imagine', 'Wishlist', 'Last Exit', 'Go', 'Leaving Here', 'Once', 'Elderly Woman Behind The Counter In A Small Town', 'Porch']"
464,"August 29, 1998"," Camden, NJ",Blockbuster-Sony Music Entertainment Centre,"['Long Road', 'Corduroy', 'Brain Of J.', 'Red Mosquito', 'In Hiding', 'Animal', 'Given To Fly', 'Lukin', 'Wishlist', 'MFC', 'Not For You', 'Alive', 'Nothingman', 'State Of Love And Trust', 'Present Tense', 'Hail, Hail', 'Jeremy', 'Do The Evolution', 'Dissident', 'Even Flow', 'Better Man', 'Save it for Later', 'Push Me, Pull Me', 'Rearviewmirror', 'Last Kiss', ""Rockin' In The Free World""]"
465,"August 31, 1998"," Raleigh, NC",Hardee's Walnut Creek Amphitheatre,"['Sometimes', 'Corduroy', 'Animal', 'Given To Fly', 'Tremor Christ', 'Hail, Hail', 'Not For You', 'Habit', 'Wishlist', 'Even Flow', 'Daughter', 'Beginning to See The Light', 'Footsteps', 'Immortality', 'Brain Of J.', 'Faithfull', 'Go', 'Jeremy', 'Alive', 'Do The Evolution', 'State Of Love And Trust', 'Black', 'Elderly Woman Behind The Counter In A Small Town', 'Better Man', ""Don't Let Me Down"", 'Soldier Of Love']"
466,"September 1, 1998"," Atlanta, GA",HiFi Buys Amphitheater,"['Hail, Hail', 'Animal', 'Given To Fly', 'Do The Evolution', 'Dissident', 'Corduroy', 'I Got Shit', 'Wishlist', 'Even Flow', 'In Hiding', 'Last Exit', 'Yeast Power', 'Off He Goes', 'MFC', 'Better Man', 'Brain Of J.', 'Alive', 'Go', 'No Way', 'Rearviewmirror', 'Daughter', 'Talk About The Passion', 'All Those Yesterdays', 'The Wrong Child', 'Black', 'Porch', 'Yellow Ledbetter']"
467,"September 3, 1998"," Birmingham, AL",Birmingham-Jefferson Coliseum,"['Release', 'Hail, Hail', 'Animal', 'Given To Fly', 'Dueling Banjos', 'Corduroy', 'Immortality', 'Wishlist', 'Go', 'Daughter', 'Androgynous Mind', 'Stuff and Nonsense', 'Footsteps', 'Even Flow', 'Jeremy', 'Faithfull', 'Brain Of J.', 'Better Man', 'Rearviewmirror', 'Porch', 'Elderly Woman Behind The Counter In A Small Town', 'Leatherman', 'Do The Evolution', 'Alive', 'Black', ""Baba O'Riley""]"
468,"September 4, 1998"," Greenville, SC",Bi-Lo Center,"['Oceans', 'Do The Evolution', 'Animal', 'Given To Fly', 'Corduroy', 'I Got Shit', 'In Hiding', 'Jeremy', 'Even Flow', 'Nothingman', 'Not For You', 'Rearviewmirror', 'Wishlist', 'Brain Of J.', 'All Those Yesterdays', 'Porch', 'Go', 'Hail, Hail', 'Daughter', 'Noise of Carpet', 'W.M.A.', 'Mankind', 'Elderly Woman Behind The Counter In A Small Town', ""Fuckin' Up"", 'Indifference']"
469,"September 6, 1998"," Knoxville, TN",Thompson-Boling Arena,"['Long Road', 'Corduroy', 'Brain Of J.', 'Given To Fly', 'Animal', 'Red Mosquito', 'Jeremy', 'Whipping', 'Wishlist', 'Lukin', 'Even Flow', 'Habit', 'MFC', 'Present Tense', 'Daughter', 'My Heart Will Go On', 'Monkey Gone to Heaven', 'Better Man', 'Alive', 'Go', 'Rearviewmirror', 'Do The Evolution', 'Hard To Imagine', 'Black', 'Last Kiss', 'Leaving Here']"
470,"September 7, 1998"," Virginia Beach, VA",GTE Virginia Beach Amphitheater,"['Animal', 'Hail, Hail', 'Given To Fly', 'Corduroy', 'I Got Shit', 'Daughter', 'Brain Of J.', 'Rats', 'Jeremy', 'Even Flow', 'Improv', 'MFC', 'Wishlist', 'Leatherman', 'Off He Goes', 'Rearviewmirror', 'Black', 'Do The Evolution', 'Immortality', 'Better Man', 'Save it for Later', 'No Way', 'Alive', 'Sonic Reducer', 'Porch']"
471,"September 8, 1998"," E. Rutherford, NJ",Continental Arena,"['Oceans', 'Hail, Hail', 'Animal', 'Given To Fly', 'Daughter', 'Jersey Girl', 'Androgynous Mind', 'Corduroy', 'MFC', 'Wishlist', 'Even Flow', 'Faithfull', 'State Of Love And Trust', 'Brain Of J.', 'Nothingman', 'Leatherman', 'Better Man', 'Black', 'Do The Evolution', 'Go', 'Immortality', 'Elderly Woman Behind The Counter In A Small Town', 'Rearviewmirror', 'Alive', 'Porch', 'Yellow Ledbetter']"
472,"September 10, 1998"," New York, NY",Madison Square Garden,"['Long Road', 'Corduroy', 'Brain Of J.', 'Last Exit', 'Given To Fly', 'Animal', 'Dissident', 'Jeremy', 'Daughter', 'Mother', 'Even Flow', 'In Hiding', 'I Got Shit', 'Better Man', 'Do The Evolution', 'All Those Yesterdays', 'Alive', 'Wishlist', 'Rearviewmirror', 'Hail, Hail', 'Black', 'Elderly Woman Behind The Counter In A Small Town', ""Fuckin' Up"", 'Yellow Ledbetter', 'Soldier Of Love']"
473,"September 11, 1998"," New York, NY",Madison Square Garden,"['Release', 'Hail, Hail', 'Animal', 'Even Flow', 'Given To Fly', 'Corduroy', 'MFC', 'Habit', 'Faithfull', 'Daughter', 'Beginning to See The Light', 'W.M.A.', 'Wishlist', 'Nothingman', 'Immortality', 'Rearviewmirror', 'Brain Of J.', 'Black', 'Do The Evolution', 'Breath', 'State Of Love And Trust', 'Off He Goes', 'Leatherman', 'Better Man', 'Save it for Later', 'Mankind', ""Baba O'Riley"", 'Indifference', 'Alive', 'War Pigs']"
474,"September 13, 1998"," Hartford, CT",Meadows Music Theatre,"['Corduroy', 'Animal', 'Hail, Hail', 'Given To Fly', 'I Got Shit', 'Go', 'Dissident', 'Tremor Christ', 'Daughter', 'Jeremy', 'Even Flow', 'Faithfull', 'MFC', 'Spin The Black Circle', 'Wishlist', 'Do The Evolution', 'Brain Of J.', 'Breath', 'Rearviewmirror', 'Better Man', 'Alive', 'Porch']"
475,"September 15, 1998"," Mansfield, MA",Great Woods,"['Sometimes', 'Corduroy', 'Hail, Hail', 'Animal', 'Given To Fly', 'Daughter', 'Immortality', 'Rearviewmirror', 'Crazy Mary', 'Wishlist', 'Jeremy', 'Even Flow', 'Nothingman', 'Brain Of J.', 'In Hiding', 'Alive', 'Elderly Woman Behind The Counter In A Small Town', 'Not For You', 'Last Exit', 'Do The Evolution', 'Black', ""Fuckin' Up"", 'Yellow Ledbetter']"
476,"September 16, 1998"," Mansfield, MA",Great Woods,"['Throw Your Arms Around Me', 'Release', 'Brain Of J.', 'Hail, Hail', 'Given To Fly', 'Dissident', 'MFC', 'Corduroy', 'Wishlist', 'Even Flow', 'Faithfull', 'Spin The Black Circle', 'I Got Shit', 'Improv', 'Habit', 'Off He Goes', 'Present Tense', 'Black', 'Do The Evolution', 'Porch', 'Go', 'State Of Love And Trust', 'Better Man', 'Save it for Later', 'Rearviewmirror', 'Alive', 'Last Kiss']"
477,"September 18, 1998"," Columbia, MD",Merriweather Post Pavilion,"['Hail, Hail', 'Animal', 'Given To Fly', 'Daughter', 'I Believe In Miracles', 'W.M.A.', 'Corduroy', 'Wishlist', 'Immortality', 'State Of Love And Trust', 'Even Flow', 'Footsteps', 'Mankind', 'Alive', 'Better Man', 'Leatherman', 'Jeremy', 'Do The Evolution', 'Elderly Woman Behind The Counter In A Small Town', 'Brain Of J.', 'Untitled', 'MFC', 'Crazy Mary', 'Rearviewmirror', 'Black', 'Porch', 'Last Kiss', 'Yellow Ledbetter']"
478,"September 19, 1998"," Washington, DC",DAR Constitution Hall,"['I Am A Patriot', 'Long Road', 'Act Of Love', 'Hail, Hail', 'Dissident', 'Given To Fly', 'Corduroy', 'Wishlist', 'Not For You', 'All Those Yesterdays', 'Daughter', ""Rockin' In The Free World"", 'W.M.A.', 'Whipping', 'Immortality', 'Push Me, Pull Me', 'Faithfull', 'Present Tense', 'Rearviewmirror', 'Black', 'Do The Evolution', 'I Got Shit', 'Better Man', 'Alive', 'Soldier Of Love', 'Yellow Ledbetter']"
479,"September 22, 1998"," West Palm Beach, FL",Coral Sky Amphitheatre,"['Interstellar Overdrive', 'Corduroy', 'Brain Of J.', 'Hail, Hail', 'Animal', 'Red Mosquito', 'Given To Fly', 'Even Flow', 'MFC', 'Improv', 'Habit', 'Wishlist', 'Daughter', 'Hyena', 'Jeremy', 'In Hiding', 'Lukin', 'Rearviewmirror', 'Immortality', 'Do The Evolution', 'Porch', 'Last Exit', 'Leatherman', 'Better Man', 'Angie', 'State Of Love And Trust', 'Alive', ""Baba O'Riley""]"
480,"September 23, 1998"," West Palm Beach, FL",Coral Sky Amphitheatre,"['Release', 'Hail, Hail', 'Animal', 'Spin The Black Circle', 'Given To Fly', 'Corduroy', 'Rearviewmirror', 'Wishlist', 'Faithfull', 'Even Flow', 'Daughter', 'Time Bomb', 'W.M.A.', 'Improv', 'Whipping', 'Present Tense', 'Not For You', 'Brain Of J.', 'Black', 'Alive', 'Breath', 'Elderly Woman Behind The Counter In A Small Town', 'I Got Shit', 'Do The Evolution', 'Rats', 'Smile', 'Leaving Here', 'Yellow Ledbetter']"
481,"October 10, 1998"," Seattle, WA",Crocodile Café,"['MFC', 'Habit', 'Corduroy', 'Immortality', 'Spin The Black Circle', 'All Those Yesterdays', 'Leatherman', 'Leaving Here', 'Do The Evolution', 'Soldier Of Love']"
482,"October 30, 1999"," Mountain View, CA",Shoreline Ampitheater,"['Soldier Of Love', 'Wishlist', 'Thin Air', 'Elderly Woman Behind The Counter In A Small Town', 'Footsteps', 'Last Kiss', 'Yellow Ledbetter']"
483,"October 31, 1999"," Mountain View, CA",Shoreline Ampitheater,"['Nothing As it Seems', 'Daughter', 'Wishlist', 'Better Man', 'Off He Goes', 'Black', 'Last Kiss']"
484,"April 12, 2000"," New York, NY",Ed Sullivan Theater,['Grievance']
485,"May 10, 2000"," Bellingham, WA",Mount Baker Theatre,"['Of The Girl', 'Grievance', 'Breakerfall', 'Nothing As it Seems', ""Gods' Dice"", 'Light Years', 'Thin Air', 'Do The Evolution', 'Black', 'Red Mosquito', 'Daughter', 'Hold On', 'Faithfull', 'Dead Man', 'MFC', 'Evacuation', 'Immortality', 'Corduroy', 'Wishlist', 'Insignificance', 'Improv', 'Go', 'Soon Forget', 'Yellow Ledbetter']"
486,"May 11, 2000"," Vancouver, BC",Commodore Ballroom,"['Long Road', 'Last Exit', 'Hail, Hail', 'Breakerfall', 'Grievance', 'Nothing As it Seems', 'Light Years', 'Corduroy', 'Even Flow', 'Elderly Woman Behind The Counter In A Small Town', 'Thin Air', 'Of The Girl', 'Insignificance', 'Not For You', 'Off He Goes', 'Wishlist', 'Evacuation', 'Animal', 'Do The Evolution', 'Daughter', 'The Wrong Child', 'Androgynous Mind', 'Last Kiss', 'Soon Forget']"
487,"May 23, 2000"," Lisbon, PT",Restelo Stadium,"['Of The Girl', 'Do The Evolution', 'Animal', 'Red Mosquito', 'Corduroy', 'Grievance', 'Light Years', 'Nothing As it Seems', 'Given To Fly', 'Even Flow', 'Faithfull', 'Untitled', 'Last Kiss', 'MFC', 'Breakerfall', 'Wishlist', 'Thin Air', 'Daughter', 'Evacuation', 'Immortality', 'Better Man', 'Save it for Later', 'Black', 'Go', 'Last Exit', 'Jeremy', 'Elderly Woman Behind The Counter In A Small Town', 'Alive', 'Yellow Ledbetter']"
488,"May 25, 2000"," Barcelona, ES",Palau St. Jordi,"['Long Road', 'Breakerfall', 'Corduroy', 'Hail, Hail', 'Animal', 'Even Flow', 'Nothing As it Seems', 'Light Years', 'Given To Fly', 'Insignificance', 'Daughter', 'The Wrong Child', 'Rearviewmirror', 'I Got Shit', 'Thin Air', 'Black', 'Better Man', 'Do The Evolution', 'Alive', 'Grievance', 'State Of Love And Trust', 'Wishlist', 'Elderly Woman Behind The Counter In A Small Town', 'Go', 'Last Kiss', 'Yellow Ledbetter']"
489,"May 26, 2000"," San Sebastian, ES",Anoeta Velodrome,"['Release', 'Given To Fly', 'Do The Evolution', 'Corduroy', 'Insignificance', 'Of The Girl', 'Jeremy', 'Light Years', 'Nothing As it Seems', 'Even Flow', 'Faithfull', 'Daughter', 'Love Me Two Times', 'Hold On', 'Breakerfall', 'Rearviewmirror', 'Better Man', 'Go', 'Last Exit', 'Hail, Hail', 'Immortality', 'State Of Love And Trust', 'Alive', 'Whipping', 'Last Kiss', 'Improv', 'Smile', 'Yellow Ledbetter']"
490,"May 29, 2000"," London, UK",Wembley Arena,"['Of The Girl', 'Breakerfall', 'Grievance', ""Gods' Dice"", 'Light Years', 'Corduroy', 'Animal', 'Given To Fly', 'Even Flow', 'Nothing As it Seems', 'Daughter', 'The Wrong Child', 'Androgynous Mind', 'Faithfull', 'MFC', 'Wishlist', 'Do The Evolution', 'Black', 'Alive', 'Timeless Melody', 'Insignificance', 'Rearviewmirror', 'Better Man', 'I Got Shit', 'Go', 'Soon Forget', 'Soldier Of Love', 'Yellow Ledbetter']"
491,"May 30, 2000"," London, UK",Wembley Arena,"['Sometimes', 'Grievance', 'Corduroy', 'Hail, Hail', 'Animal', 'Dissident', 'Nothing As it Seems', 'In Hiding', 'Even Flow', 'Thin Air', 'Habit', 'Untitled', 'MFC', 'Off He Goes', 'Daughter', 'On A Rope', 'Not For You', 'State Of Love And Trust', 'Immortality', 'Rearviewmirror', 'Light Years', 'Do The Evolution', 'Last Exit', 'Elderly Woman Behind The Counter In A Small Town', 'Black', 'Alive']"
492,"June 1, 2000"," Dublin, IE",The Point Theatre,"['Sometimes', 'Breakerfall', 'Grievance', 'Corduroy', 'Given To Fly', 'Animal', 'Nothing As it Seems', 'Faithfull', 'Even Flow', 'Off He Goes', 'Elderly Woman Behind The Counter In A Small Town', 'Insignificance', 'Daughter', 'W.M.A.', 'Rearviewmirror', 'Alive', 'Go', 'Do The Evolution', 'Lukin', 'Wishlist', 'Better Man', 'Save it for Later', 'Garden', 'Black']"
493,"June 3, 2000"," Glasgow, UK",Scottish Exhibition & Conference Centre,"['Sometimes', 'Breakerfall', 'Corduroy', 'Hail, Hail', 'Animal', 'Dissident', 'Grievance', 'Nothing As it Seems', 'Given To Fly', 'Even Flow', 'Daughter', 'Untitled', 'MFC', 'Habit', 'Better Man', 'Present Tense', 'State Of Love And Trust', 'Rearviewmirror', 'Brain Of J.', 'Do The Evolution', 'Light Years', 'Elderly Woman Behind The Counter In A Small Town', 'Last Kiss', 'Once', 'Soon Forget', 'Yellow Ledbetter']"
494,"June 4, 2000"," Manchester, UK",Manchester Evening News Arena,"['Of The Girl', 'Breakerfall', 'Grievance', 'Corduroy', 'Light Years', 'Go', 'Given To Fly', 'Evacuation', 'Even Flow', 'Daughter', 'Animal', 'Wishlist', 'Nothingman', 'Better Man', 'Insignificance', 'Rearviewmirror', 'Last Exit', 'Once', 'Black', 'Timeless Melody', 'State Of Love And Trust', ""Fuckin' Up"", 'Leatherman', 'Footsteps', 'Do The Evolution', 'Garden', 'Yellow Ledbetter']"
495,"June 6, 2000"," Cardiff, UK",Cardiff International Arena,"['Nothing As it Seems', 'Breakerfall', ""Gods' Dice"", 'Animal', 'Red Mosquito', 'Insignificance', 'Corduroy', 'I Got Shit', 'Alive', 'Given To Fly', 'Better Man', 'Leatherman', 'Light Years', 'Pilate', 'Daughter', 'W.M.A.', 'Do The Evolution', 'Once', 'Go', 'MFC', 'Elderly Woman Behind The Counter In A Small Town', 'Black', 'Immortality', 'Spin The Black Circle', 'Even Flow', 'Smile', 'Yellow Ledbetter']"
496,"June 8, 2000"," Paris, FR",Palais Omisports de Paris Bercy,"['Sometimes', 'Breakerfall', 'Corduroy', ""Gods' Dice"", 'Animal', 'Nothing As it Seems', 'Given To Fly', 'Evacuation', 'Alive', 'Pilate', 'Better Man', 'Insignificance', 'Daughter', 'Hold On', 'Androgynous Mind', 'In Hiding', 'Wishlist', 'Grievance', 'Even Flow', 'Rearviewmirror', 'Hail, Hail', 'Go', 'Once', 'Light Years', 'Elderly Woman Behind The Counter In A Small Town', 'Black', ""Fuckin' Up"", 'Yellow Ledbetter']"
497,"June 9, 2000"," Nuernburg, DEU",Rock Am Ring Festival,"['Sometimes', 'Corduroy', 'Breakerfall', 'MFC', 'Grievance', 'Animal', 'Given To Fly', 'Nothing As it Seems', 'Even Flow', 'Not For You', 'Wishlist', 'Better Man', 'Insignificance', 'Rearviewmirror', 'Timeless Melody', 'Alive', 'Daughter', 'W.M.A.', 'Behind Blue Eyes', 'Do The Evolution', 'Once', 'Elderly Woman Behind The Counter In A Small Town', 'Go', 'State Of Love And Trust', 'Light Years', 'Black', 'Last Kiss', ""Fuckin' Up"", 'Yellow Ledbetter']"
498,"June 11, 2000"," Nuremberg, DEU",Rock Im Park Festival,"['MFC', 'Habit', 'Corduroy', 'Breakerfall', ""Gods' Dice"", 'Animal', 'Nothing As it Seems', 'Dissident', 'Even Flow', 'Given To Fly', 'Wishlist', 'Alive', 'Off He Goes', 'Leatherman', 'Better Man', 'Once', 'Lukin', 'Insignificance', 'Improv', 'Rearviewmirror', 'Black', 'Spin The Black Circle', 'Do The Evolution', 'Light Years', 'Elderly Woman Behind The Counter In A Small Town', 'Leaving Here', 'Yellow Ledbetter']"
499,"June 12, 2000"," Landgraaf, NL",Pinkpop Festival,"['Corduroy', 'Breakerfall', 'Animal', 'Hail, Hail', 'Rival', 'Jeremy', 'Nothing As it Seems', 'MFC', 'Habit', 'Light Years', 'Lukin', 'Even Flow', 'Brain Of J.', 'Insignificance', 'Better Man', 'Rearviewmirror', 'Once', ""Fuckin' Up"", 'Black', 'Leaving Here']"
500,"June 14, 2000"," Prague, CZ",Peagas Arena,"['Of The Girl', 'Grievance', 'Corduroy', 'Given To Fly', 'Animal', 'Red Mosquito', 'Pilate', 'Alive', 'Present Tense', 'Habit', 'Untitled', 'MFC', 'I Got Shit', 'Wishlist', 'Insignificance', 'Rearviewmirror', 'Even Flow', 'Go', 'Sleight Of Hand', 'Light Years', 'Better Man', 'Save it for Later', 'Timeless Melody', 'Do The Evolution', 'State Of Love And Trust', 'Once', 'Black', 'Yellow Ledbetter']"
501,"June 15, 2000"," Katowice, PL",Spodek,"['Long Road', 'Breakerfall', 'Corduroy', 'Animal', 'Brain Of J.', 'Nothing As it Seems', 'Given To Fly', ""Gods' Dice"", 'Present Tense', 'MFC', 'Not For You', 'Better Man', 'Grievance', 'Thin Air', 'Even Flow', 'Nothingman', 'Insignificance', 'Rearviewmirror', 'Do The Evolution', 'Go', 'Rival', 'Footsteps', 'Wishlist', 'Elderly Woman Behind The Counter In A Small Town', 'Last Kiss', 'Alive', ""Rockin' In The Free World""]"
502,"June 16, 2000"," Katowice, PL",Spodek,"['Release', 'Of The Girl', 'Sleight Of Hand', 'Thin Air', 'Insignificance', 'Grievance', 'Corduroy', 'Animal', 'Hail, Hail', 'State Of Love And Trust', 'Evacuation', 'Daughter', 'Another Brick In The Wall (Part 2)', 'On A Rope', 'Jeremy', 'Sto Lat', 'I Got Shit', 'Light Years', 'Leatherman', 'In Hiding', 'Off He Goes', 'Dissident', 'MFC', 'Habit', 'Alive', 'Smile', 'Immortality', 'Black', 'Leaving Here', 'Soldier Of Love', 'Last Exit', 'Soon Forget', 'Yellow Ledbetter', 'Dance the Night Away']"
503,"June 18, 2000"," Salzburg, AT",Residenzplatz,"['Sometimes', 'Breakerfall', 'Grievance', 'Corduroy', 'Animal', ""Gods' Dice"", 'State Of Love And Trust', 'Nothing As it Seems', 'Alive', 'Daughter', 'Another Brick In The Wall (Part 2)', 'W.M.A.', 'Once', 'Lukin', 'Not For You', 'Light Years', 'Leatherman', 'Improv', 'Present Tense', 'Rearviewmirror', 'Go', 'Do The Evolution', 'Insignificance', 'Even Flow', 'Wishlist', 'Better Man', 'Elderly Woman Behind The Counter In A Small Town', 'Thin Air', 'Black', ""Rockin' In The Free World""]"
504,"June 19, 2000"," Ljubljana, SI",Hala Tivoli,"['Corduroy', 'Breakerfall', 'Hail, Hail', 'Animal', 'Brain Of J.', 'Faithfull', 'Light Years', 'Untitled', 'MFC', 'Habit', 'Nothing As it Seems', 'Given To Fly', 'Spin The Black Circle', 'Red Mosquito', 'Black', 'Insignificance', 'Grievance', 'I Got Shit', 'Wishlist', 'Do The Evolution', 'Alive', 'Last Kiss', 'Better Man', 'Sleight Of Hand', 'Daughter', 'Rearviewmirror', 'Porch', 'Soon Forget', 'Indifference']"
505,"June 20, 2000"," Verona, IT",Arena Di Verona,"['Long Road', 'Grievance', 'Corduroy', 'Hail, Hail', 'Animal', 'Nothing As it Seems', 'Pilate', 'Given To Fly', 'Even Flow', 'O Sole Mio', 'MFC', 'Habit', 'Wishlist', 'Daughter', 'Beautiful Way', 'State Of Love And Trust', 'Once', 'Lukin', 'Immortality', 'Insignificance', 'Rearviewmirror', 'In The Colosseum', 'Black', 'Breakerfall', 'Do The Evolution', 'Elderly Woman Behind The Counter In A Small Town', 'Better Man', 'I Got You', 'Alive', 'Last Kiss', 'Porch', 'Soon Forget', 'Yellow Ledbetter']"
506,"June 22, 2000"," Milan, IT",Fila Forum,"['Of The Girl', 'Corduroy', 'Grievance', ""Gods' Dice"", 'Animal', 'Given To Fly', 'Rival', 'Elderly Woman Behind The Counter In A Small Town', 'Even Flow', 'Not For You', 'Thin Air', 'Light Years', 'MFC', 'Present Tense', 'Daughter', 'Jeremy', 'Go', 'Nothingman', 'Sleight Of Hand', 'Better Man', 'Wishlist', 'Insignificance', 'Rearviewmirror', 'Do The Evolution', 'Garden', 'State Of Love And Trust', 'Black', 'Smile', ""Rockin' In The Free World""]"
