Show #,date,location,venue,setlist
142,"March 25, 1992"," Minneapolis, MN",First Avenue Club,"['Wash', 'Outshined', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Deep', 'Suggestion', 'Jeremy', 'Why Go', 'Porch', 'Garden', 'Leash']"
143,"March 26, 1992"," Madison, WI",R & R Station,"['Wash', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'State Of Love And Trust', 'Once', 'Porch', 'Garden', 'Leash']"
144,"March 27, 1992"," Milwaukee, WI",Marquette University,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Improv', 'Black', 'We Belong Together', 'State Of Love And Trust', 'Once', ""Rockin' In The Free World"", 'Porch', 'Leash', 'Outshined', ""I've Got a Feeling"", 'Dirty Frank']"
145,"March 28, 1992"," Chicago, IL",Cabaret Metro,"['Release', 'Improv (You Tell Me)', 'Even Flow', ""Rockin' In The Free World"", 'Once', 'State Of Love And Trust', 'Alive', 'Black', 'We Belong Together', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Garden', 'Leash', 'Window Paine', ""I've Got a Feeling""]"
146,"March 30, 1992"," Cincinnati, OH",Bogart's,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Garden', 'Leash']"
147,"March 31, 1992"," Columbus, OH",Newport Music Hall,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Deep', 'Jeremy', 'Why Go', 'Porch']"
148,"April 2, 1992"," Cleveland, OH",Peabody's Down Under,"['Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Deep', 'Jeremy', 'Why Go', ""Rockin' In The Free World"", 'Porch', 'Garden', 'Leash']"
149,"April 3, 1992"," Detroit, MI",St. Andrew's Hall,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'State Of Love And Trust', 'Dirty Frank', 'Once', 'Porch', 'Garden', 'Leash', ""I've Got a Feeling"", ""Rockin' In The Free World""]"
150,"April 4, 1992"," Toronto, ON",Concert Hall,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'State Of Love And Trust', 'Once', 'Improv', 'Porch', 'Breath', 'Happy Birthday', 'Leash']"
151,"April 6, 1992"," Lowell, MA",Cumnock Hall,"['Oceans', 'Improv', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'Happy Birthday', 'State Of Love And Trust', ""Improv (I'm Not Crazy)"", 'Once', 'Porch', 'Garden']"
152,"April 7, 1992"," Amherst, MA",Student Union Ballroom,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Garden', 'Leash']"
153,"April 8, 1992"," Boston, MA",Axis Club,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'Improv', 'State Of Love And Trust', ""Improv (I'm Not Crazy)"", 'Once', 'Porch', 'Suggestion', 'Garden', 'Outshined', 'Leash']"
154,"April 10, 1992"," Philadelphia, PA",Trocadero Club,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'State Of Love And Trust', 'Once', 'Porch', 'Garden', 'Leash', ""Rockin' In The Free World""]"
155,"April 11, 1992"," New York, NY",Rockefeller Center Studio 8H,"['Alive', 'Porch']"
156,"April 12, 1992"," New York, NY",Limelight,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Suggestion', 'Deep', 'Alive', 'Black', 'We Belong Together', 'State Of Love And Trust', 'Once', 'Porch', 'Leash', ""Rockin' In The Free World"", ""I've Got a Feeling"", 'Release']"
157,"April 13, 1992"," College Park, MD",Ritchie Coliseum,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'We Belong Together', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Improv', 'Garden', 'Outshined', 'Leash', ""Rockin' In The Free World""]"
158,"April 16, 1992"," Athens, GA",Legion Field,"['Oceans', 'Even Flow', 'Wash', 'Porch', ""Rockin' In The Free World"", 'Alive']"
159,"April 19, 1992"," Dallas, TX",Coca-Cola Starplex Amphitheatre,"['Even Flow', 'Deep', 'Alive']"
160,"April 20, 1992"," New Orleans, LA",Tipitinas,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'We Belong Together', 'State Of Love And Trust', ""Improv (I'm Not Crazy)"", 'Once', 'Porch', 'Improv', 'Garden', ""Baba O'Riley"", ""Rockin' In The Free World""]"
161,"April 22, 1992"," St. Petersburg, FL",Janus Landing,['No setlist information available...']
162,"April 23, 1992"," Miami, FL",Cameo Theater,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'We Belong Together', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Suggestion', 'Leash', ""Rockin' In The Free World""]"
163,"April 24, 1992"," Orlando, FL",On The Edge FM,['No setlist information available...']
164,"April 28, 1992"," Austin, TX",The Coliseum,['No setlist information available...']
165,"April 29, 1992"," Dallas, TX",Bronco Bowl,['No setlist information available...']
